clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
,American Structurepoint,,Indianapolis,IN,Interior Design Lead,structurepoint.com,"Large engineering firm with interior design studio — transportation, civic, and commercial projects. Transit facility interiors are ideal DI-NOC applications.",,seed-designers
,Antunovich Associates,,Chicago,IL,Interior Design Principal,antunovich.com,Hospitality + adaptive reuse firm; DI-NOC wood/metal films enable budget-friendly heritage aesthetic in historic buildings.,,seed-designers
,Arrasmith Judd Rapp Chovan,,Louisville,KY,Interior Design Lead,ajrci.com,Established Louisville AIA firm; healthcare and commercial renovation where DI-NOC and Rea Tec provide durable interior surface upgrades.,,seed-designers
,Axis Architecture + Associates,,Indianapolis,IN,Interior Design Lead,axisarch.net,Established Indianapolis firm with civic and corporate practice — DI-NOC and Rea Tec surface films are regular specification items.,,seed-designers
,Brandstetter Carroll,,Lexington,KY,Principal / Interior Design,bcainc.com,Central Kentucky architecture with education and civic practice; DI-NOC wall graphics and surface films in school and university renovation.,,seed-designers
,Bremner Design Group,,Indianapolis,IN,Principal Interior Designer,,ASID member boutique interiors practice; DI-NOC wood and metallic films for high-end Indianapolis residential and commercial renovation.,,seed-designers
,Browning Day,,Indianapolis,IN,Director of Interior Design,browningday.com,"Large multidisciplinary firm with active healthcare, civic, and higher-ed practice — DI-NOC wood/stone films are specified repeatedly across their project types. One spec = multiple projects.",,seed-designers
,Bulley & Andrews,,Chicago,IL,Interior Finishes Coordinator,bulley.com,Historic restoration and commercial GC; DI-NOC wood and stone films for code-compliant interior surface refinishing in landmark buildings.,,seed-designers
,Cannon Design Chicago,,Chicago,IL,Interior Design Principal,cannondesign.com,Healthcare and higher-ed giant; DI-NOC antimicrobial and surface films are routine specifications in their Chicago hospital projects.,,seed-designers
,CBRE Design Collective Chicago,,Chicago,IL,Interior Design Lead,,Corporate tenant improvement and workplace design; DI-NOC films for cost-effective brand environment in Chicago office interiors.,,seed-designers
,Champlin Architecture,,Cincinnati,OH,Interior Design Lead,chamarch.com,Commercial interiors and tenant improvement practice; DI-NOC wood and stone films as millwork alternatives in TI projects.,,seed-designers
,Clayco,,Chicago,IL,Interior Design Lead,claycorp.com,Design-build giant; Rea Tec and DI-NOC films in large-scale commercial and industrial interior packages. Major pipeline opportunity.,,seed-designers
,CMTA,,Louisville,KY,Interior Design Lead,cmta.com,Engineering-led firm with building design practice; DI-NOC surface upgrades in Louisville commercial and institutional facility renovation.,,seed-designers
,Cordogan Clark & Associates,,Aurora,IL,Interior Design Lead,cordoganclark.com,K-12 education specialist in Chicago suburbs; school renovation projects are consistent wall graphics and DI-NOC pipeline.,,seed-designers
,Cripe Architects + Engineers,,Indianapolis,IN,Interior Design Director,cripe.biz,Broad commercial practice; DI-NOC is used as cost-effective surface upgrade in tenant improvement and renovation projects — pitch the savings vs. new millwork.,,seed-designers
,CSO Architects,,Indianapolis,IN,Interior Design Principal,csoarchitects.com,"Mixed-use, multifamily, and hospitality practice — DI-NOC accent surfaces in lobbies and amenity areas are high-ROI per square foot. Active pipeline of Indy multifamily.",,seed-designers
,Design Collaborative,,Fort Wayne,IN,Senior Interior Designer,designcollaborative.com,Healthcare and education focus in Fort Wayne; DI-NOC antimicrobial and textured films directly address their clients' surface durability needs.,,seed-designers
,DesignGroup,,Columbus,OH,Director of Interior Design,designgroupinc.com,"Columbus full-service firm with healthcare, education, and corporate practice — DI-NOC surface films are standard in their interior finish palette. High project volume.",,seed-designers
,Elevatus Architecture,,Indianapolis,IN,Principal,elevatusarchitecture.com,Worship and civic facilities; DI-NOC wood and stone films create premium sanctuary and lobby environments on realistic renovation budgets.,,seed-designers
,EOP Architects,,Louisville,KY,Interior Design Lead,eoparchitects.com,"Louisville full-service firm with healthcare, education, and civic practice — DI-NOC and Rea Tec films are standard interior finish specifications.",,seed-designers
,Fanning Howey,,Indianapolis,IN,Interior Design Lead,fanninghowey.com,"K-12 and higher-ed specialist; school cafeteria and corridor wall graphics + DI-NOC are durable, low-maintenance — key argument for facilities managers.",,seed-designers
