company,state,domain,focus,email_sales,email_info,website,last_emailed,replied,requested_sample,purchased,amount_usd,notes
A.M. Sun Solar,CA,amsunsolar.com,commercial + agricultural,sales@amsunsolar.com,info@amsunsolar.com,https://amsunsolar.com,,,,,,
AFC Solar,TX,afcsolar.com,commercial EPC,sales@afcsolar.com,info@afcsolar.com,https://afcsolar.com,,,,,,
All Energy Solar,MN,allenergysolar.com,commercial + residential,sales@allenergysolar.com,info@allenergysolar.com,https://allenergysolar.com,,,,,,
American Sentry Solar,MD,americansentry.com,commercial + residential,sales@americansentry.com,info@americansentry.com,https://americansentry.com,,,,,,
Arch Solar,WI,archsolar.com,commercial + residential,sales@archsolar.com,info@archsolar.com,https://archsolar.com,,,,,,
Berkowatts Electric,NJ,berkowatts.com,commercial electrical + solar,sales@berkowatts.com,info@berkowatts.com,https://berkowatts.com,,,,,,
Boston Solar,MA,bostonsolar.us,commercial + residential,sales@bostonsolar.us,info@bostonsolar.us,https://bostonsolar.us,,,,,,
Brooklyn SolarWorks,NY,brooklynsolarworks.com,urban commercial + residential,sales@brooklynsolarworks.com,info@brooklynsolarworks.com,https://brooklynsolarworks.com,,,,,,
Creative Energies,WY,cesolar.com,commercial + residential,sales@cesolar.com,info@cesolar.com,https://cesolar.com,,,,,,
Freedom Solar Power,TX,freedomsolarpower.com,commercial + residential (24k+ installs),sales@freedomsolarpower.com,info@freedomsolarpower.com,https://freedomsolarpower.com,,,,,,
Geoscape Solar,NJ,geoscapesolar.com,commercial + residential,sales@geoscapesolar.com,info@geoscapesolar.com,https://geoscapesolar.com,,,,,,
Got Electric,MD,gotelectric.com,commercial electrical,sales@gotelectric.com,info@gotelectric.com,https://gotelectric.com,,,,,,
Harmon Electric,AZ,harmonelectric.com,commercial electrical + solar,sales@harmonelectric.com,info@harmonelectric.com,https://harmonelectric.com,,,,,,
Harvest Power,NY,harvestpower.solar,commercial + agricultural,sales@harvestpower.solar,info@harvestpower.solar,https://harvestpower.solar,,,,,,
ISO Solar,PR,isosolar.com,commercial PR/Caribbean,sales@isosolar.com,info@isosolar.com,https://isosolar.com,,,,,,
Jefferson Electric,IN,jeffersonelectric.com,commercial electrical + solar,sales@jeffersonelectric.com,info@jeffersonelectric.com,https://jeffersonelectric.com,,,,,,
John Mills Electric,NY,johnmillselectric.com,commercial electrical,sales@johnmillselectric.com,info@johnmillselectric.com,https://johnmillselectric.com,,,,,,
M Bar C Construction,CA,mbarcconstruction.com,parking-canopy + commercial,sales@mbarcconstruction.com,info@mbarcconstruction.com,https://mbarcconstruction.com,,,,,,
M.L. Schmitt,MA,mlschmitt.com,commercial electrical,sales@mlschmitt.com,info@mlschmitt.com,https://mlschmitt.com,,,,,,
New Era Electric,CA,newera-electric.com,commercial + industrial,sales@newera-electric.com,info@newera-electric.com,https://newera-electric.com,,,,,,
Positive Energy Solar,NM,positiveenergysolar.com,commercial + residential,sales@positiveenergysolar.com,info@positiveenergysolar.com,https://positiveenergysolar.com,,,,,,
Puget Sound Solar,WA,pugetsoundsolar.com,commercial + residential,sales@pugetsoundsolar.com,info@pugetsoundsolar.com,https://pugetsoundsolar.com,,,,,,
Renova Energy,CA,renovaenergy.com,commercial + residential,sales@renovaenergy.com,info@renovaenergy.com,https://renovaenergy.com,,,,,,
Renu Energy Solutions,NC,renuenergysolutions.com,commercial + residential,sales@renuenergysolutions.com,info@renuenergysolutions.com,https://renuenergysolutions.com,,,,,,
Resolute Performance Contracting,AZ,resolutepc.com,commercial + industrial,sales@resolutepc.com,info@resolutepc.com,https://resolutepc.com,,,,,,
ReVision Energy,ME,revisionenergy.com,commercial + residential (B Corp),sales@revisionenergy.com,info@revisionenergy.com,https://revisionenergy.com,,,,,,
RevoluSun Mountain States,ID,revolusun.com,commercial + residential,sales@revolusun.com,info@revolusun.com,https://revolusun.com,,,,,,
RevoluSun Smart Home,HI,revolusun.com,commercial + residential,sales@revolusun.com,info@revolusun.com,https://revolusun.com,,,,,,
Sandbar Solar,CA,sandbarsolar.com,commercial + residential,sales@sandbarsolar.com,info@sandbarsolar.com,https://sandbarsolar.com,,,,,,
Scudder Solar Energy Systems,CA,scuddersolar.com,commercial + residential,sales@scuddersolar.com,info@scuddersolar.com,https://scuddersolar.com,,,,,,
Solar by CIR,NY,solarbycir.com,commercial + residential,sales@solarbycir.com,info@solarbycir.com,https://solarbycir.com,,,,,,
Solar Holler,WV,solarholler.com,commercial + residential (B Corp),sales@solarholler.com,info@solarholler.com,https://solarholler.com,,,,,,
Solar States,PA,solar-states.com,commercial + residential (B Corp),sales@solar-states.com,info@solar-states.com,https://solar-states.com,,,,,,
SUNation Energy,NY,sunation.com,commercial + residential,sales@sunation.com,info@sunation.com,https://sunation.com,,,,,,
Sunrise Power Solutions,NY,sunrisepowersolutions.com,commercial + residential,sales@sunrisepowersolutions.com,info@sunrisepowersolutions.com,https://sunrisepowersolutions.com,,,,,,
Teichert Solar,CA,teichertsolar.com,commercial + industrial (100+ MW),sales@teichertsolar.com,info@teichertsolar.com,https://teichertsolar.com,,,,,,
Big Sun Solar,TX,bigsunsolar.com,"commercial EPC (San Antonio, Austin)",sales@bigsunsolar.com,info@bigsunsolar.com,https://bigsunsolar.com,,,,,,
IntegrateSun,TX,integratesun.com,commercial + residential (Houston),sales@integratesun.com,info@integratesun.com,https://integratesun.com,,,,,,
Sunshine Renewable Solutions,TX,sunshinerenewable.com,commercial Houston,sales@sunshinerenewable.com,info@sunshinerenewable.com,https://sunshinerenewable.com,,,,,,
Native Solar,TX,nativesolar.com,commercial + residential (Austin),sales@nativesolar.com,info@nativesolar.com,https://nativesolar.com,,,,,,
Lighthouse Solar,TX,lighthousesolar.com,commercial + residential,sales@lighthousesolar.com,info@lighthousesolar.com,https://lighthousesolar.com,,,,,,
Sunworks,CA,sunworksusa.com,commercial + agricultural,sales@sunworksusa.com,info@sunworksusa.com,https://sunworksusa.com,,,,,,
Ameresco,MA,ameresco.com,large commercial EPC,sales@ameresco.com,info@ameresco.com,https://ameresco.com,,,,,,
CleanCapital,NY,cleancapital.com,commercial solar + developer,sales@cleancapital.com,info@cleancapital.com,https://cleancapital.com,,,,,,
PosiGen,CT,posigen.com,commercial + residential (LMI),sales@posigen.com,info@posigen.com,https://posigen.com,,,,,,
Cypress Creek Renewables,NC,cypresscreekrenewables.com,utility + commercial,sales@cypresscreekrenewables.com,info@cypresscreekrenewables.com,https://cypresscreekrenewables.com,,,,,,
Standard Solar,MD,standardsolar.com,commercial + community solar,sales@standardsolar.com,info@standardsolar.com,https://standardsolar.com,,,,,,
Pivot Energy,CO,pivotenergy.net,commercial + community solar,sales@pivotenergy.net,info@pivotenergy.net,https://pivotenergy.net,,,,,,
Sunrock Distributed Generation,NC,sunrockdg.com,commercial DG,sales@sunrockdg.com,info@sunrockdg.com,https://sunrockdg.com,,,,,,
PurePoint Energy,CT,purepointenergy.com,commercial + residential,sales@purepointenergy.com,info@purepointenergy.com,https://purepointenergy.com,,,,,,
