company,city,state,source,source_id,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,pitch_angle
"Graybar","Valley View","OH","osm_industrial","osm-98114659","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Warehouse 26","Cleveland","OH","osm_industrial","osm-180702262","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Warehouse A","Cleveland","OH","osm_industrial","osm-333522182","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Warehouse 24","Cleveland","OH","osm_industrial","osm-396113317","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Hoban Pest Control","Avon Lake","OH","osm_industrial","osm-494301528","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Total Line Refrigeration","Avon Lake","OH","osm_industrial","osm-494953591","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Hall Contracting Services","Avon Lake","OH","osm_industrial","osm-494953592","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mt Business Technologies","Avon","OH","osm_industrial","osm-496967175","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Stack Heating & Cooling","Avon","OH","osm_industrial","osm-496967186","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Amazon Cle5","Twinsburg","OH","osm_industrial","osm-597199530","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Piano Warehouse","Cleveland","OH","osm_industrial","osm-619593461","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Roscoe Medical Inc","Strongsville","OH","osm_industrial","osm-715896660","493110","Warehousing / Cold Storage","84","moderate","corporate","direct_purchase","daytime_peak","2000","3013440","361613","5.5","4527334","Distribution centers are the easiest commercial solar installs we do — large clear flat roofs, ground-level interconnect.","Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
